Date,Open,High,Low,Close,Adj Close,Volume
2021-03-19,14.713300,14.808320,14.646410,14.728310,14.728310,0
2021-03-22,14.814390,14.900310,14.671900,14.811630,14.811630,0
2021-03-23,14.704700,14.939250,14.693310,14.702500,14.702500,0
2021-03-24,14.877000,14.933630,14.741800,14.881200,14.881200,0
2021-03-25,14.943640,15.083100,14.855960,14.950360,14.950360,0
2021-03-26,14.989500,15.095780,14.919900,14.995720,14.995720,0
2021-03-29,14.975770,15.065380,14.868800,14.971950,14.971950,0
2021-03-30,14.891900,14.990800,14.848400,14.910730,14.910730,0
2021-03-31,14.898860,14.958870,14.719600,14.901180,14.901180,0
2021-04-01,14.778100,14.840040,14.618400,14.779200,14.779200,0
2021-04-02,14.601900,14.661370,14.571600,14.613900,14.613900,0
2021-04-05,14.640800,14.690860,14.511500,14.617690,14.617690,0
2021-04-06,14.552960,14.609390,14.476300,14.546080,14.546080,0
2021-04-07,14.472900,14.578100,14.461500,14.512400,14.512400,0
2021-04-08,14.561500,14.576190,14.442800,14.539100,14.539100,0
2021-04-09,14.517370,14.621530,14.475900,14.516820,14.516820,0
2021-04-12,14.588070,14.665300,14.550000,14.576310,14.576310,0
2021-04-13,14.563800,14.681250,14.496300,14.559100,14.559100,0
2021-04-14,14.502280,14.529600,14.373200,14.493000,14.493000,0
2021-04-15,14.364700,14.432300,14.150300,14.386900,14.386900,0
2021-04-16,14.161820,14.341260,14.137700,14.143400,14.143400,0
2021-04-19,14.304370,14.313000,14.160000,14.302220,14.302220,0
2021-04-20,14.210100,14.320600,14.160300,14.208200,14.208200,0
2021-04-21,14.271300,14.334600,14.213400,14.285500,14.285500,0
2021-04-22,14.219100,14.314600,14.194700,14.217500,14.217500,0
2021-04-23,14.307950,14.314600,14.223900,14.309280,14.309280,0
2021-04-26,14.271210,14.284900,14.214800,14.272890,14.272890,0
2021-04-27,14.249400,14.379590,14.239100,14.271680,14.271680,0
2021-04-28,14.369740,14.428900,14.262800,14.368690,14.368690,0
2021-04-29,14.227650,14.357700,14.147860,14.204100,14.204100,0
2021-04-30,14.269300,14.507020,14.265200,14.281800,14.281800,0
2021-05-03,14.465400,14.514850,14.354600,14.458600,14.458600,0
2021-05-04,14.394560,14.537750,14.370300,14.397700,14.397700,0
2021-05-05,14.420500,14.489920,14.352800,14.462200,14.462200,0
2021-05-06,14.328500,14.372100,14.195700,14.344590,14.344590,0
2021-05-07,14.184840,14.261100,14.045100,14.186490,14.186490,0
2021-05-10,14.054380,14.085900,13.959700,14.055300,14.055300,0
