Date,Open,High,Low,Close,Adj Close,Volume
2021-03-19,72.668701,72.737801,72.446503,72.668800,72.668800,0
2021-03-22,72.404999,72.949997,72.301003,72.404999,72.404999,0
2021-03-23,72.380501,72.539101,72.265999,72.380501,72.380501,0
2021-03-24,72.612297,73.080498,72.500900,72.612198,72.612198,0
2021-03-25,72.645599,73.137001,72.550003,72.645599,72.645599,0
2021-03-26,72.612801,72.660004,72.370300,72.612801,72.612801,0
2021-03-29,72.447304,72.827400,72.447304,72.447197,72.447197,0
2021-03-30,72.741898,73.652298,72.712997,72.741898,72.741898,0
2021-03-31,73.445297,73.612999,73.050003,73.445297,73.445297,0
2021-04-01,73.203499,73.462502,73.105003,73.203499,73.203499,0
2021-04-02,73.287300,73.409798,73.238503,73.287300,73.287300,0
2021-04-05,73.376099,73.451599,73.197304,73.375999,73.375999,0
2021-04-06,73.279503,73.529099,73.214600,73.279503,73.279503,0
2021-04-07,73.489998,74.532303,73.449799,73.489998,73.489998,0
2021-04-08,74.401497,74.905602,74.193001,74.401497,74.401497,0
2021-04-09,74.544502,75.006302,74.460503,74.544502,74.544502,0
2021-04-12,74.729599,75.178299,74.180199,74.729500,74.729500,0
2021-04-13,74.990997,75.517998,74.890404,74.990997,74.990997,0
2021-04-14,75.181900,75.260002,75.003899,75.181503,75.181503,0
2021-04-15,75.054001,75.362999,74.744003,75.026100,75.026100,0
2021-04-16,74.727402,74.836502,74.297699,74.727402,74.727402,0
2021-04-19,74.541298,75.045403,74.532997,74.563202,74.563202,0
2021-04-20,74.878197,75.724800,74.501999,74.878197,74.878197,0
2021-04-21,75.449203,75.690002,75.283203,75.449203,75.449203,0
2021-04-22,75.429497,75.614998,74.841003,75.429497,75.429497,0
2021-04-23,75.091698,75.305000,74.738503,75.091698,75.091698,0
2021-04-26,74.868202,75.251999,74.664001,74.868103,74.868103,0
2021-04-27,74.797897,74.834999,74.510498,74.814903,74.814903,0
2021-04-28,74.574997,74.945999,74.281998,74.574997,74.574997,0
2021-04-29,74.311798,74.597000,73.958298,74.311798,74.311798,0
2021-04-30,74.105797,74.294998,73.825401,74.105797,74.105797,0
2021-05-03,74.094902,74.494003,73.747200,74.094803,74.094803,0
2021-05-04,73.837502,74.476997,73.738503,73.837502,73.837502,0
2021-05-05,73.778900,74.014503,73.688301,73.778900,73.778900,0
2021-05-06,73.799500,74.191002,73.572098,73.799400,73.799400,0
2021-05-07,73.615196,73.894997,73.166199,73.615196,73.615196,0
